company_id,row_type,cumulativeFunding_year,cumulativeFunding_value
162,cumulativeFunding,2022,1500000
162,cumulativeFunding,2023,1500000
162,cumulativeFunding,2024,1500000
162,cumulativeFunding,2025,1500000
162,cumulativeFunding,,1500000
165,cumulativeFunding,2020,1890000
165,cumulativeFunding,2021,1890000
165,cumulativeFunding,2022,1890000
165,cumulativeFunding,2023,1890000
165,cumulativeFunding,2024,1890000
165,cumulativeFunding,2025,1890000
165,cumulativeFunding,,1890000
166,cumulativeFunding,2019,
166,cumulativeFunding,2020,
166,cumulativeFunding,2021,5000000
166,cumulativeFunding,2022,5000000
166,cumulativeFunding,2023,5000000
166,cumulativeFunding,2024,15000000
166,cumulativeFunding,2025,15000000
166,cumulativeFunding,,15000000
